experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,gharchive,19,default_sweep_cand_2097152,583401,8.241343,0.519,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=5.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_winner,1048576,10.435211,0.535,"winner=default_1048576b (by val_ratio=10.199470); trainer=default(fastCOVER, --train); equal-compute budget=3352.3s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,weblogs,3,default_sweep_cand_16384,16384,5.814570,1.255,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=1.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_65536,65536,6.227865,0.357,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=1.6s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_112640,112640,6.412440,0.419,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=2.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_262144,262144,6.800036,0.422,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=2.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_524288,524288,6.952682,0.354,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=2.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_786432,786432,7.073191,0.351,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=3.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_1048576,1048576,7.199549,0.355,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=3.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_1310720,1310720,7.310167,0.364,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=3.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_1572864,1572864,7.153460,0.350,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=4.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_1835008,1835008,7.112415,0.366,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=4.6s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_cand_2097152,2097152,7.111073,0.367,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=349.9s; accumulated=5.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,3,default_sweep_winner,1310720,7.286368,0.364,"winner=default_1310720b (by val_ratio=7.310167); trainer=default(fastCOVER, --train); equal-compute budget=349.9s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,weblogs,19,default_sweep_cand_16384,16384,7.141495,0.378,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=0.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_65536,65536,8.276048,0.339,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=0.7s; evaluated on train-internal val split (seed=1729)"
